Straat;Huisnummer;toevoeging;Stad;
Stadserf;1;;Schiedam;
Stadserf;1;;Schiedam;
Boerhaavelaan;79;;Schiedam;
Fahrenheitstraat;2;;Schiedam;
Hoogstraat;112;;Schiedam;
Jan van Avennesstraat;32;;Schiedam;
Sint Liduinastraat;10;;Schiedam;
Willem de Zwijgerlaan;35;;Schiedam;
Frans Halsplein;33;;Schiedam;
Anthonie Muysstraat;2;;Schiedam;
Dirk Durrerstraat;1;;Schiedam;
Leliestraat;10;;Schiedam;
Nieuwe Maasstraat;68;D;Schiedam;
Burgemeester Honnerlage Gretelaan;494;;Schiedam;
Dr. Willem Dreesplein;2;;Schiedam;
s-Gravelandseweg;557;;Schiedam;
Nieuwe Damlaan;759;;Schiedam;
Piersonstraat;9;;Schiedam;
Bachplein;584;;Schiedam;
Van Beethovenplein;161;;Schiedam;
Kerkweg;46;C;Schiedam;
Olympiaweg;63;;Schiedam;
Noordeinde;12;;Schiedam;
Nachtegaallaan;2;;Schiedam;
Heijermansplein;35;;Schiedam;
Bernardus Ijzerdraatsingel;1;;Schiedam;
Voorberghlaan;35;;Schiedam;
Stockholm;13;;Schiedam;
Stockholm;1;;Schiedam;
Willem Andriessenlaan;2;;Schiedam;
Stationsplein;1;;Schiedam;
Bernardus Ijzerdraatsingel;1;;Schiedam;
